id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified
1062445810296721409,https://twitter.com/G_Stagno/status/1062445810296721409,Tue Nov 13 20:43:15 +0000 2018,2018-11-13 20:43:15+00:00,G_Stagno,Manca poco a #PorteAperteInnovazione Domani il festival dell'innovazione al Sud. Lieta che ad ospitarlo sia la mia città. In bocca al lupo a @FPA_net e agli amici che lì si ritroveranno @cirospat @DadonzoLeone @creziplus @FilippoPistoia @opendatasicilia https://t.co/r55B9DOyu7,original,,PorteAperteInnovazione,,https://youtu.be/f3PSVm-r9go,0,,,,it,,False,0,,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",352189182,Wed Aug 10 08:12:11 +0000 2011,False,,741,303,967,28,Roma,G. Roberta Stagno,1104,,,False
1062440893708406784,https://twitter.com/suxsonica/status/1062440893708406784,Tue Nov 13 20:23:42 +0000 2018,2018-11-13 20:23:42+00:00,suxsonica,Di #opendata si parla poco ma c'è chi fa belle cose replicabili. Anche in silenzio. Grazie a @opendatasicilia e Davide Taibi per questa intervista #daleggere https://t.co/ceWDDMPhhe,original,,opendata daleggere,,https://www.ingenium-magazine.it/open-data-e-linked-data-risorsa-per-collettivita/,1,,,,it,,False,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",406820061,Mon Nov 07 07:21:55 +0000 2011,False,"Una iperattiva, nonostante tutto. Appassionata di informatica da sempre è analista programmatrice, docente, avida lettrice e giornalista",8816,6068,2781,366,Perugia,Sonia Montegiove,26705,,http://www.techeconomy.it/author/sonia-montegiove/,False
1062340215996628992,https://twitter.com/ninokeys/status/1062340215996628992,Tue Nov 13 13:43:39 +0000 2018,2018-11-13 13:43:39+00:00,ninokeys,"Thanks @kidehen for using our (@dataibi) project as case study
"" a Bot using Linked Open data for @PACultura2018 events ""

 #ODS18 #linkeddata https://t.co/kL8gjusmwp",quote,,ODS18 linkeddata,,https://twitter.com/kidehen/status/1062325142737616896,1,,,,en,,False,0,1062325142737616896,kidehen,1294621,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",258012622,Sat Feb 26 19:31:59 +0000 2011,False,"Technical Content Manager @SkyUK
Passionate about Semantic Web / Linked Data research",537,145,513,5,Palermo / Lisboa / London,Antonino Lo Bue,597,,https://it.linkedin.com/in/antoninolobue,False
1062336698871357440,https://twitter.com/MauSbogar/status/1062336698871357440,Tue Nov 13 13:29:40 +0000 2018,2018-11-13 13:29:40+00:00,MauSbogar,"@Cor_Com Sicuramente sta innovando @opendatasicilia che ha appena concluso un convengo a #Palermo  sugli #opendata e loro #ontologie per #openars #ods18 

Un lavoro ottimo e originale di cui bisogna tener conto

@G_Stagno @aborruso @dataibi @gpirrotta  @noordungp @cirospat https://t.co/BaX5dNCRE7",reply,,Palermo opendata ontologie openars ods18,https://pbs.twimg.com/media/Dr4tc_JXgAAsgPj.jpg,,4,Cor_Com,1062329426854207497,148815037,it,,False,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",333255579,Mon Jul 11 07:24:40 +0000 2011,False,#DIGITALFIRST & #RESILIENZA nell' #INNOVAZIONE   (qui solo opinioni personali),11440,622,683,28,REGIONE FRIULI - VENEZIAGIULIA,Maurizio Sbogar,6442,,http://www.regione.fvg.it,False
1062281779183267840,https://twitter.com/AndreaDEramo70/status/1062281779183267840,Tue Nov 13 09:51:27 +0000 2018,2018-11-13 09:51:27+00:00,AndreaDEramo70,"Sette cose di #ods18 @opendatasicilia che mi riporto a casa
3/7 La battuta 
L’Ars ha dato il patrocinio, ma poi però non ha presenziato neanche per un saluto. Ben sintetizzato da una amara battuta di uno dei partecipanti: “Il patrocinio è gratuito, ma l’ascolto, invece, costa” https://t.co/JREiYPR3Qn",original,,ods18,https://pbs.twimg.com/media/Dr37iXTWsAAcIhz.jpg,,8,,,,it,,False,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2999692138,Mon Jan 26 13:52:50 +0000 2015,False,"Lavoro in Sas Italia. Open Data, Big Data, Analytics, Bid Mngt e storytelling. Retwitto selvaggio, ma persisto nell'avere opinioni tutte mie",123,70,335,3,,Andrea D'Eramo,1580,,https://medium.com/@andrea.deramo70,False
1062267728231362560,https://twitter.com/ninokeys/status/1062267728231362560,Tue Nov 13 08:55:37 +0000 2018,2018-11-13 08:55:37+00:00,ninokeys,"Our slide deck about enriching @PACultura2018 events data via Linked Data

https://t.co/nLgnAdUKco

#tourism  #opendata  #enrichment  #linkeddata #ods18",original,,tourism opendata enrichment linkeddata ods18,,http://ods2018.opendatasicilia.it/presentazioni/InterlinkingEventi_ODS2018_final.pdf,0,,,,en,,False,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",258012622,Sat Feb 26 19:31:59 +0000 2011,False,"Technical Content Manager @SkyUK
Passionate about Semantic Web / Linked Data research",537,145,513,5,Palermo / Lisboa / London,Antonino Lo Bue,597,,https://it.linkedin.com/in/antoninolobue,False
1061979999652192256,https://twitter.com/AndreaDEramo70/status/1061979999652192256,Mon Nov 12 13:52:17 +0000 2018,2018-11-12 13:52:17+00:00,AndreaDEramo70,"Sette cose di #ods18 @opendatasicilia che mi riporto a casa
2/7 Il cazziatone
Al termine del mio intervento (nel quale ho fatto una battutaccia sul pollice verde di mia moglie) ho ricevuto tanti messaggi affettuosi. Ne cito uno: ""A casa facciamo i conti"". Mia moglie, appunto",original,,ods18,,,1,,,,it,,,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2999692138,Mon Jan 26 13:52:50 +0000 2015,False,"Lavoro in Sas Italia. Open Data, Big Data, Analytics, Bid Mngt e storytelling. Retwitto selvaggio, ma persisto nell'avere opinioni tutte mie",123,70,335,3,,Andrea D'Eramo,1580,,https://medium.com/@andrea.deramo70,False
1061976149612478470,https://twitter.com/aborruso/status/1061976149612478470,Mon Nov 12 13:36:59 +0000 2018,2018-11-12 13:36:59+00:00,aborruso,"@AndreaDEramo70 @opendatasicilia @dataibi @gpirrotta @nelsonmau @cirospat Scherzo, senza fretta.  È sincera curiosità!",reply,,,,,0,AndreaDEramo70,1061975249607102467,2999692138,it,"Palermo, Sicily",,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",1317611,Fri Mar 16 22:17:36 +0000 2007,False,The Cat in the Hat Can Map This and That! #data #maps #GIS #baci #condivisione. Orgoglioso di essere presidente di @ondatait,7583,2243,2424,186,Palermo,Andrea Borruso,13247,,https://medium.com/tantotanto,False
1061975249607102467,https://twitter.com/AndreaDEramo70/status/1061975249607102467,Mon Nov 12 13:33:24 +0000 2018,2018-11-12 13:33:24+00:00,AndreaDEramo70,"@aborruso @opendatasicilia @dataibi @gpirrotta @nelsonmau @cirospat ancora un attimo, mi hanno messo a lavorare... cose da pazzi",reply,,,,,1,aborruso,1061963665337917440,1317611,it,,,0,,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",2999692138,Mon Jan 26 13:52:50 +0000 2015,False,"Lavoro in Sas Italia. Open Data, Big Data, Analytics, Bid Mngt e storytelling. Retwitto selvaggio, ma persisto nell'avere opinioni tutte mie",123,70,335,3,,Andrea D'Eramo,1580,,https://medium.com/@andrea.deramo70,False
1061967002707877890,https://twitter.com/IngeniumTw/status/1061967002707877890,Mon Nov 12 13:00:38 +0000 2018,2018-11-12 13:00:38+00:00,IngeniumTw,Quali per la #PA i #dataset più interessanti da pubblicare? E quali i #progetti che aprono gli archivi delle #Amministrazioni ai #cittadini? @davidetaibi su @IngeniumTw.  @foiapop @albopop #openars @EngineeringSpa @TechEcon @opendatasicilia  https://t.co/Uo8OxXQeL9,original,,PA dataset progetti Amministrazioni cittadini openars,,https://bit.ly/2qAXTq1,4,,,,it,,False,3,,,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",750619840457633793,Wed Jul 06 09:18:10 +0000 2016,False,Ingenium è il web magazine di Engineering e Tech Economy sulla Digital Transformation.,49,843,570,24,,IngeniumTw,1729,,http://www.ingenium-magazine.it,False
